Ticker,Date,Alpha,Unemployment,ConsumerSentiment,Market,Size,ValueGrowth,AlphaStd,UnemploymentStd,ConsumerSentimentStd,MarketStd,SizeStd,ValueGrowthStd,TotalRisk,DiversifiableRisk,NonDiversifiableRisk
ACT,2014-09-30,0.093,-0.782,0.048,0.312,0.212,-0.196,0.054,0.646,0.143,0.224,0.396,0.427,19.816,6.148,18.838
ADM,2014-09-30,0.042,-0.506,0.033,0.949,-0.83,-0.029,0.056,0.663,0.147,0.229,0.406,0.438,22.641,11.88,19.274
AEE,2014-09-30,-0.016,0.285,-0.162,0.378,-0.089,0.073,0.039,0.469,0.104,0.162,0.287,0.31,14.871,5.886,13.657
ADP,2014-09-30,-0.022,0.297,0.008,0.938,-0.428,-0.226,0.022,0.26,0.058,0.09,0.159,0.172,13.555,11.334,7.436
ADS,2014-09-30,-0.014,0.32,-0.026,0.936,0.789,0.43,0.055,0.655,0.145,0.227,0.401,0.433,25.801,17.476,18.98
ADT,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AES,2014-09-30,0.043,-0.654,-0.184,0.905,0.43,-0.044,0.051,0.603,0.134,0.209,0.37,0.399,22.956,14.865,17.493
AGN,2014-09-30,0.049,-0.494,0.16,0.98,-1.024,-0.175,0.063,0.754,0.167,0.261,0.462,0.499,25.176,12.342,21.943
AVY,2014-09-30,-0.038,0.367,0.049,1.206,-0.199,0.62,0.052,0.621,0.138,0.215,0.38,0.411,24.903,17.227,17.983
AIG,2014-09-30,0.003,-0.104,-0.089,1.276,0.835,1.62,0.083,0.995,0.221,0.344,0.609,0.658,38.656,25.745,28.834
AIV,2014-09-30,-0.059,0.842,-0.154,0.536,0.843,1.103,0.055,0.651,0.145,0.225,0.399,0.431,24.335,15.331,18.898
AIZ,2014-09-30,-0.019,0.272,0.027,0.878,-0.656,0.631,0.046,0.544,0.121,0.188,0.333,0.36,19.847,12.025,15.789
ALL,2014-09-30,0.036,-0.401,0.155,0.826,0.175,0.312,0.033,0.389,0.086,0.135,0.239,0.258,17.424,13.322,11.23
ALLE,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALTR,2014-09-30,-0.063,0.727,0.036,1.047,1.292,-1.068,0.05,0.597,0.132,0.206,0.365,0.395,27.166,21.034,17.192
ALXN,2014-09-30,-0.019,0.542,-0.102,0.754,0.007,-1.114,0.07,0.831,0.185,0.288,0.509,0.55,26.797,11.49,24.208
AMAT,2014-09-30,0.051,-0.695,0.002,1.324,0.806,0.159,0.053,0.628,0.139,0.217,0.384,0.415,28.796,22.413,18.08
AME,2014-09-30,-0.053,0.719,0.117,1.059,0.605,-0.44,0.04,0.471,0.105,0.163,0.289,0.312,21.936,17.241,13.562
AMP,2014-09-30,-0.021,0.288,0.123,1.598,-0.303,0.469,0.032,0.377,0.084,0.13,0.231,0.249,24.339,21.901,10.617
AMT,2014-09-30,-0.014,0.323,-0.004,0.376,-0.694,-0.347,0.038,0.454,0.101,0.157,0.278,0.3,14.307,5.458,13.225
AMZN,2014-09-30,-0.103,1.343,-0.271,1.188,-0.246,-1.56,0.067,0.804,0.179,0.278,0.493,0.532,29.492,18.018,23.349
BCR,2014-09-30,-0.001,0.039,-0.009,0.723,-0.216,0.021,0.047,0.562,0.125,0.194,0.344,0.372,18.801,9.273,16.356
APA,2014-09-30,-0.034,0.245,-0.186,1.24,0.428,-0.068,0.056,0.663,0.147,0.229,0.406,0.438,26.978,18.977,19.175
APC,2014-09-30,-0.047,0.455,-0.385,1.749,-0.112,0.193,0.074,0.883,0.196,0.305,0.541,0.584,35.666,24.872,25.562
APD,2014-09-30,0.012,-0.204,0.054,1.21,-0.063,-0.444,0.039,0.466,0.103,0.161,0.285,0.308,20.92,16.047,13.422
MCHP,2014-09-30,-0.026,0.327,-0.074,0.967,0.438,0.026,0.041,0.483,0.107,0.167,0.296,0.319,20.68,15.272,13.943
APH,2014-09-30,-0.017,0.217,0.032,1.288,0.111,-0.195,0.044,0.522,0.116,0.18,0.319,0.345,23.344,17.854,15.04
AVB,2014-09-30,-0.068,0.937,-0.185,0.492,0.528,0.664,0.05,0.6,0.133,0.207,0.367,0.397,21.109,11.912,17.426
AVP,2014-09-30,-0.095,0.779,0.068,1.516,-0.939,0.185,0.067,0.799,0.177,0.276,0.489,0.528,29.725,18.601,23.186
AXP,2014-09-30,-0.047,0.599,-0.14,1.185,-0.24,-0.259,0.042,0.505,0.112,0.175,0.309,0.334,21.23,15.428,14.585
AZO,2014-09-30,-0.055,0.867,0.07,0.318,0.302,-0.18,0.039,0.465,0.103,0.161,0.285,0.308,15.197,6.897,13.542
BAX,2014-09-30,-0.002,-0.021,0.136,0.828,-0.533,-0.252,0.048,0.573,0.127,0.198,0.351,0.379,19.451,10.006,16.68
BBBY,2014-09-30,-0.087,1.046,0.091,0.927,-0.028,-0.074,0.063,0.746,0.166,0.258,0.457,0.494,25.312,13.018,21.708
BBY,2014-09-30,0.036,-0.685,-0.131,2.065,-0.487,-1.117,0.106,1.262,0.28,0.437,0.773,0.835,45.218,26.475,36.657
BDX,2014-09-30,-0.01,0.103,0.055,0.857,-0.013,-0.131,0.028,0.338,0.075,0.117,0.207,0.223,15.127,11.577,9.736
BEAM,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BHI,2014-09-30,-0.031,0.305,-0.234,1.392,0.277,-0.308,0.079,0.945,0.21,0.327,0.579,0.625,34.126,20.272,27.452
BIIB,2014-09-30,0.021,-0.041,0.009,1.194,0.347,-1.267,0.073,0.875,0.194,0.303,0.536,0.579,30.984,17.69,25.438
BLL,2014-09-30,0.011,-0.076,0.064,0.854,0.006,-0.644,0.035,0.413,0.092,0.143,0.253,0.273,16.599,11.508,11.963
BMS,2014-09-30,-0.055,0.679,0.023,0.656,-0.35,0.42,0.037,0.438,0.097,0.151,0.268,0.289,15.639,9.11,12.712
BMY,2014-09-30,-0.032,0.512,0.054,0.617,-0.83,0.0,0.052,0.623,0.138,0.216,0.382,0.412,19.686,7.619,18.152
BRK_B,2014-09-30,0.013,-0.077,0.17,0.453,-0.389,0.159,0.041,0.489,0.109,0.169,0.3,0.324,15.669,6.512,14.252
BSX,2014-09-30,0.124,-1.584,0.13,0.746,1.245,-0.148,0.074,0.878,0.195,0.304,0.538,0.581,31.379,18.259,25.52
BXP,2014-09-30,-0.056,0.719,-0.189,0.808,-0.278,0.25,0.039,0.471,0.104,0.163,0.288,0.311,17.778,11.391,13.65
CAG,2014-09-30,-0.027,0.35,0.133,0.483,-0.414,0.724,0.04,0.48,0.107,0.166,0.294,0.318,16.301,8.405,13.968
CAH,2014-09-30,-0.008,0.227,0.073,0.689,-0.517,-0.259,0.042,0.5,0.111,0.173,0.307,0.331,16.633,8.038,14.562
CAM,2014-09-30,-0.044,0.481,-0.171,1.245,0.188,-0.321,0.067,0.798,0.177,0.276,0.489,0.528,29.192,17.755,23.171
CCI,2014-09-30,-0.03,0.477,-0.242,0.641,-0.584,0.03,0.041,0.486,0.108,0.168,0.298,0.322,16.826,9.132,14.133
CF,2014-09-30,-0.036,0.473,-0.288,1.712,-0.318,-1.092,0.09,1.073,0.238,0.371,0.657,0.71,38.498,22.59,31.173
CFN,2014-09-30,-0.003,0.053,0.017,0.908,-0.243,0.193,0.046,0.55,0.122,0.19,0.337,0.364,19.997,12.037,15.968
MCK,2014-09-30,0.046,-0.405,-0.034,0.671,-0.018,0.042,0.049,0.585,0.13,0.202,0.359,0.387,19.507,9.513,17.031
CHRW,2014-09-30,-0.005,0.072,-0.121,0.346,0.367,0.449,0.051,0.608,0.135,0.21,0.373,0.402,19.394,7.881,17.721
CI,2014-09-30,-0.003,0.188,0.115,0.631,-0.024,-0.17,0.058,0.694,0.154,0.24,0.425,0.459,21.985,8.61,20.229
CL,2014-09-30,-0.018,0.267,-0.087,0.572,-0.578,-0.021,0.029,0.341,0.076,0.118,0.209,0.226,12.185,7.088,9.911
CLX,2014-09-30,0.006,-0.006,-0.094,0.502,-0.234,0.131,0.032,0.379,0.084,0.131,0.232,0.251,12.926,6.733,11.034
CMA,2014-09-30,-0.003,0.023,0.288,0.907,0.527,0.959,0.043,0.512,0.114,0.177,0.314,0.339,23.581,18.4,14.747
CME,2014-09-30,0.018,-0.284,0.065,1.017,0.032,0.199,0.052,0.616,0.137,0.213,0.377,0.407,23.126,14.681,17.868
CMG,2014-09-30,0.011,0.277,-0.251,0.154,1.764,-0.298,0.082,0.978,0.217,0.338,0.599,0.647,32.185,15.043,28.453
CMI,2014-09-30,-0.121,1.517,-0.192,1.415,0.952,0.267,0.063,0.751,0.167,0.26,0.46,0.497,33.123,25.049,21.673
CMS,2014-09-30,-0.042,0.672,-0.068,0.334,-0.356,0.401,0.038,0.448,0.099,0.155,0.274,0.296,14.195,5.597,13.045
COF,2014-09-30,-0.015,0.195,-0.008,1.133,-0.159,0.322,0.044,0.52,0.115,0.18,0.318,0.344,21.654,15.585,15.033
COG,2014-09-30,-0.043,0.775,-0.246,0.458,0.435,0.262,0.092,1.092,0.242,0.378,0.669,0.722,33.444,10.267,31.829
COH,2014-09-30,-0.185,2.101,0.322,1.169,0.318,-1.05,0.071,0.842,0.187,0.291,0.516,0.557,31.389,19.713,24.427
COP,2014-09-30,-0.09,1.012,-0.3,1.41,-0.618,0.552,0.064,0.765,0.17,0.265,0.469,0.506,29.556,19.537,22.179
COST,2014-09-30,-0.025,0.405,-0.0,0.601,-0.296,-0.213,0.035,0.414,0.092,0.143,0.254,0.274,14.05,7.245,12.038
CPB,2014-09-30,-0.032,0.403,0.129,0.567,-0.897,0.369,0.043,0.509,0.113,0.176,0.312,0.337,16.938,8.191,14.826
CRM,2014-09-30,-0.078,0.996,0.091,0.599,2.183,-1.279,0.119,1.413,0.314,0.489,0.866,0.935,47.102,22.985,41.113
CSC,2014-09-30,0.081,-1.113,-0.019,1.337,0.205,-0.705,0.082,0.983,0.218,0.34,0.602,0.65,34.483,19.322,28.562
