Ticker,Date,Alpha,Beta,StandardDeviation,RSquared,SharpeRatio,TreynorRatio,TrackingError,InformationRatio,SortinoRatio,Momentum,AnnualizedReturn,UpsideCapture,DownsideCapture
ACT,2014-09-30,34.74,0.35,19.98,5.35,2.01,1.15,21.25,1.63,4.67,558.52,45.79,122.3,-34.9
ADM,2014-09-30,3.9,0.78,22.83,20.42,0.7,0.2,20.57,0.19,1.14,94.83,14.27,82.43,50.22
AEE,2014-09-30,8.33,0.4,15.0,12.41,0.97,0.36,16.12,0.52,1.6,95.04,14.29,56.29,13.56
ADP,2014-09-30,5.65,0.85,13.67,68.04,1.37,0.22,7.97,0.71,2.59,143.5,19.48,97.98,69.45
ADS,2014-09-30,12.17,1.26,26.02,41.09,1.21,0.25,20.27,0.6,2.23,306.47,32.37,153.61,109.7
ADT,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AES,2014-09-30,-14.68,1.1,23.15,39.34,0.1,0.02,18.08,-0.81,0.18,-1.72,-0.35,73.93,147.45
AGN,2014-09-30,15.14,0.72,25.39,14.19,1.04,0.36,23.8,0.64,1.74,217.67,26.01,117.45,53.22
AVY,2014-09-30,-9.94,1.31,25.11,47.45,0.41,0.08,18.65,-0.53,0.66,42.76,7.38,110.32,185.72
AIG,2014-09-30,-11.93,1.75,38.98,35.2,0.38,0.09,32.91,-0.36,0.72,48.44,8.22,124.76,200.52
AIV,2014-09-30,6.62,0.94,24.54,25.61,0.86,0.22,21.18,0.31,1.28,146.72,19.8,113.6,106.26
AIZ,2014-09-30,4.84,0.85,20.01,31.23,0.89,0.21,16.72,0.29,1.4,120.7,17.16,96.24,63.57
ALL,2014-09-30,3.3,0.95,17.57,51.07,1.02,0.19,12.31,0.27,1.88,126.65,17.78,107.18,93.86
ALLE,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALTR,2014-09-30,-3.32,1.25,27.39,36.35,0.58,0.13,22.1,-0.15,1.07,84.78,13.07,110.64,158.58
ALXN,2014-09-30,33.8,0.68,27.02,11.15,1.64,0.65,25.81,1.31,2.31,644.59,49.41,143.09,1.2
AMAT,2014-09-30,-9.35,1.66,29.04,56.77,0.56,0.1,20.97,-0.45,1.34,82.64,12.8,159.62,242.79
AME,2014-09-30,7.83,1.21,22.12,52.5,1.2,0.22,15.5,0.51,2.16,230.95,27.04,130.79,103.55
AMP,2014-09-30,4.22,1.66,24.54,79.59,1.21,0.18,14.08,0.3,1.74,276.31,30.35,176.28,163.15
AMT,2014-09-30,17.48,0.22,14.43,4.15,1.45,0.94,17.47,1.0,2.98,169.01,21.89,59.2,-35.29
AMZN,2014-09-30,13.64,1.01,29.74,20.04,0.98,0.29,26.59,0.51,2.42,245.37,28.13,108.74,45.04
BCR,2014-09-30,3.11,0.74,18.96,26.29,0.76,0.2,16.65,0.19,1.52,88.62,13.53,72.52,59.27
APA,2014-09-30,-17.26,1.43,27.2,48.1,0.17,0.03,20.4,-0.85,0.25,5.52,1.08,78.82,172.08
APC,2014-09-30,-12.1,1.86,35.97,46.76,0.46,0.09,28.6,-0.42,0.67,66.79,10.77,122.53,186.96
APD,2014-09-30,-3.43,1.21,21.1,57.51,0.72,0.13,14.03,-0.24,1.39,92.04,13.94,107.79,130.24
MCHP,2014-09-30,0.18,1.14,20.85,52.19,0.85,0.16,14.54,0.01,1.42,117.69,16.83,125.03,152.35
APH,2014-09-30,1.65,1.37,23.54,59.27,0.97,0.17,15.8,0.1,1.6,171.58,22.12,142.29,144.1
AVB,2014-09-30,6.83,0.77,21.28,22.97,0.88,0.24,18.92,0.36,1.55,127.98,17.92,92.75,74.64
AVP,2014-09-30,-33.77,1.39,29.98,37.41,-0.41,-0.09,24.26,-1.39,-0.72,-57.22,-15.62,58.77,251.77
AXP,2014-09-30,4.81,1.16,21.41,51.25,1.06,0.2,15.1,0.32,1.8,176.35,22.54,123.96,110.31
AZO,2014-09-30,20.14,0.4,15.32,11.99,1.72,0.66,16.41,1.23,2.86,248.56,28.37,84.65,-4.1
BAX,2014-09-30,-2.05,0.72,19.61,23.78,0.46,0.13,17.51,-0.12,0.68,43.33,7.46,68.58,84.17
