Ticker, Date, Alpha,Beta,StandardDeviation,RSquared,SharpeRatio,TreynorRatio,TrackingError,InformationRatio,SortinoRatio,Momentum,AnnualizedReturn,UpsideCapture,DownsideCapture
PSA,2014-10-31,10.66,0.78,17.95,32.25,1.3,0.3,15.06,0.71,2.43,193.99,24.07,95.26,32.9
PWR,2014-10-31,1.34,0.66,22.9,14.32,0.53,0.18,21.66,0.06,0.82,60.75,9.96,76.51,77.92
ROP,2014-10-31,9.34,0.97,17.96,50.51,1.4,0.26,12.64,0.74,2.8,222.33,26.37,114.74,72.8
UNP,2014-10-31,16.12,1.02,18.58,52.27,1.76,0.32,12.84,1.26,3.02,365.17,35.99,128.59,40.39
SJM,2014-10-31,7.29,0.63,17.1,23.36,1.02,0.28,15.74,0.46,2.09,122.95,17.39,86.65,62.84
TSCO,2014-10-31,23.92,1.1,25.91,31.17,1.61,0.38,21.53,1.11,3.26,569.82,46.28,158.13,51.41
WY,2014-10-31,-0.35,1.52,27.72,52.24,0.88,0.16,20.36,-0.02,1.55,179.85,22.85,160.43,193.17
ATI,2014-10-31,-22.04,2.06,41.46,42.59,0.27,0.06,34.36,-0.64,0.45,16.08,3.03,157.34,316.9
CA,2014-10-31,-10.05,1.34,24.14,52.93,0.48,0.09,17.14,-0.59,0.97,56.34,9.35,93.0,135.13
GNCMA,2014-10-31,2.24,1.05,36.43,14.35,0.53,0.18,33.72,0.07,1.0,90.73,13.78,97.93,127.97
ETFC,2014-10-31,-19.9,2.21,38.74,56.26,0.41,0.07,30.17,-0.66,0.61,52.74,8.84,152.87,273.07
DO,2014-10-31,-31.56,1.35,28.1,39.73,-0.34,-0.07,22.28,-1.42,-0.52,-49.42,-12.74,46.71,214.88
IFF,2014-10-31,8.48,0.88,17.13,45.15,1.33,0.26,12.79,0.66,2.2,187.64,23.53,113.13,88.86
EL,2014-10-31,10.23,1.17,24.98,37.79,1.17,0.25,19.82,0.52,1.85,266.22,29.64,120.86,67.47
FAST,2014-10-31,7.24,1.01,25.31,27.77,0.94,0.23,21.51,0.34,1.71,178.79,22.76,120.94,110.73
GIS,2014-10-31,9.85,0.19,12.84,3.6,1.0,0.69,16.54,0.6,1.81,82.74,12.82,52.05,8.63
GOOGL,2014-10-31,-0.68,1.17,26.39,34.22,0.7,0.16,21.53,-0.03,1.46,111.84,16.2,108.58,105.4
FCX,2014-10-31,-27.75,2.11,39.69,48.88,0.16,0.03,31.92,-0.87,0.26,-6.11,-1.25,94.74,233.74
GD,2014-10-31,0.08,1.12,20.01,54.13,0.91,0.16,13.65,0.01,1.33,125.22,17.63,107.11,103.42
IP,2014-10-31,-1.2,1.45,25.29,56.71,0.88,0.15,17.66,-0.07,1.31,159.69,21.03,149.59,175.98
BBSI,2014-10-31,7.63,1.2,46.02,11.68,0.59,0.23,43.33,0.18,0.83,123.04,17.4,113.11,118.57
IPG,2014-10-31,-1.33,1.99,34.86,56.33,0.89,0.16,26.47,-0.05,1.58,249.45,28.43,183.49,205.44
IRM,2014-10-31,2.76,0.86,28.12,16.23,0.6,0.19,25.8,0.11,0.9,89.72,13.66,104.43,133.86
LH,2014-10-31,-0.81,0.69,15.85,33.05,0.66,0.15,13.58,-0.06,0.99,58.64,9.67,70.97,87.44
KORS,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAS,2014-10-31,-10.77,1.95,35.59,51.6,0.59,0.11,27.71,-0.39,0.97,108.25,15.8,152.32,221.95
MCD,2014-10-31,7.7,0.34,11.81,14.53,1.12,0.39,13.92,0.55,1.79,87.51,13.4,49.89,12.13
MHK,2014-10-31,2.98,1.59,31.29,44.84,0.92,0.18,24.52,0.12,1.66,231.64,27.1,172.4,171.96
MU,2014-10-31,15.72,1.63,46.28,21.45,0.91,0.26,41.85,0.38,1.79,387.33,37.27,226.43,216.18
NI,2014-10-31,21.04,0.49,15.24,17.84,1.9,0.59,15.35,1.37,3.55,297.62,31.79,99.99,-8.97
CVD,2014-10-31,-1.93,0.89,27.87,17.58,0.45,0.14,25.34,-0.08,0.68,54.61,9.11,69.28,78.94
FFIN,2014-10-31,-0.7,1.14,21.01,51.06,0.85,0.16,14.82,-0.05,1.81,119.2,17.0,118.37,141.33
FBC,2014-10-31,-50.6,2.23,63.66,21.19,-0.23,-0.06,58.78,-0.86,-0.38,-82.53,-29.46,65.79,417.39
LHCG,2014-10-31,-18.73,1.3,32.36,27.77,0.07,0.02,27.78,-0.67,0.15,-12.76,-2.69,97.2,237.74
EXPE,2014-10-31,15.02,0.9,36.95,10.14,0.8,0.33,35.05,0.43,1.28,211.06,25.48,86.07,-8.42
ARG,2014-10-31,12.41,0.68,27.78,10.4,0.85,0.34,26.62,0.47,1.85,174.3,22.36,100.85,36.69
GGP,2014-10-31,26.67,1.8,54.25,18.99,1.03,0.31,49.94,0.53,3.12,791.54,54.89,214.95,146.94
IR,2014-10-31,-5.2,1.4,26.88,46.59,0.65,0.13,20.32,-0.26,1.05,99.85,14.85,123.22,169.89
LEG,2014-10-31,2.87,1.15,23.89,40.06,0.9,0.19,18.6,0.15,1.66,154.75,20.57,129.68,140.09
LLTC,2014-10-31,-4.39,1.21,21.6,54.36,0.71,0.13,14.85,-0.3,1.2,91.47,13.87,114.05,153.1
MYL,2014-10-31,7.77,1.22,27.29,34.71,1.01,0.23,22.25,0.35,1.69,229.74,26.95,142.78,117.51
TIF,2014-10-31,-4.0,1.77,31.88,52.97,0.77,0.14,24.07,-0.17,1.31,167.41,21.74,144.3,186.74
CST,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DSW,2014-10-31,11.26,1.21,37.22,18.33,0.83,0.26,33.76,0.33,1.39,231.36,27.07,126.23,113.39
DRTX,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ENR,2014-10-31,2.6,0.94,24.9,24.48,0.72,0.19,21.65,0.12,1.32,109.43,15.93,104.06,103.7
EXAS,2014-10-31,34.9,1.35,49.16,13.04,1.16,0.42,46.07,0.76,3.73,874.49,57.67,202.62,49.81
GGG,2014-10-31,-1.94,1.77,28.11,68.1,0.95,0.15,18.79,-0.1,1.81,212.26,25.58,165.73,188.75
STL,2014-10-31,-5.96,1.35,26.92,43.56,0.59,0.12,20.74,-0.29,1.08,86.9,13.32,113.43,162.73
ZINC,2014-10-31,-17.75,2.25,41.71,50.27,0.45,0.08,33.7,-0.53,0.64,64.85,10.51,166.97,294.84
INDB,2014-10-31,3.2,0.91,21.06,32.51,0.86,0.2,17.34,0.18,1.57,120.85,17.17,96.8,94.37
MDR,2014-10-31,-60.84,2.05,48.02,31.58,-0.57,-0.13,42.07,-1.45,-0.63,-88.48,-35.1,54.86,485.17
MCGC,2014-10-31,-8.4,1.28,31.54,28.42,0.39,0.1,26.93,-0.31,0.77,46.35,7.91,84.02,144.82
MTZ,2014-10-31,4.84,1.19,35.67,19.19,0.68,0.2,32.16,0.15,1.11,142.71,19.4,123.13,157.48
MDAS,2014-10-31,-12.08,1.16,38.65,15.63,0.18,0.06,35.57,-0.34,0.36,-1.28,-0.26,67.96,156.88
ALOG,2014-10-31,2.46,0.92,25.87,21.62,0.67,0.19,22.93,0.11,1.38,102.17,15.12,91.09,93.78
AVA,2014-10-31,3.4,0.67,16.96,27.2,0.85,0.21,15.09,0.23,1.34,90.73,13.78,79.25,70.3
ATMI,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
