Ticker,Date,Alpha,Beta,StandardDeviation,RSquared,SharpeRatio,TreynorRatio,TrackingError,InformationRatio,SortinoRatio,Momentum,AnnualizedReturn,UpsideCapture,DownsideCapture
ACT,2014-10-31,36.35,0.31,19.56,4.46,2.12,1.32,21.14,1.72,4.88,605.23,47.8,120.62,-46.9
ADM,2014-10-31,0.94,0.79,23.19,19.79,0.59,0.17,20.96,0.05,1.0,73.84,11.69,74.81,56.95
AEE,2014-10-31,10.88,0.4,15.38,11.45,1.13,0.44,16.51,0.66,1.87,123.76,17.48,62.65,7.55
ADP,2014-10-31,4.28,0.86,13.74,67.32,1.33,0.21,8.07,0.53,2.55,136.68,18.8,95.1,73.8
ADS,2014-10-31,16.26,1.24,25.87,39.72,1.41,0.29,20.33,0.8,2.6,415.37,38.81,160.95,95.82
ADT,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AES,2014-10-31,-12.77,1.06,22.5,38.62,0.2,0.04,17.65,-0.72,0.37,10.98,2.1,72.34,131.6
AGN,2014-10-31,16.02,0.73,25.43,14.05,1.09,0.38,23.85,0.67,1.83,241.9,27.87,120.24,53.43
AVY,2014-10-31,-10.07,1.32,25.16,47.61,0.45,0.09,18.69,-0.54,0.74,51.31,8.64,112.01,189.91
AIG,2014-10-31,-7.55,1.67,37.3,34.65,0.52,0.12,31.41,-0.24,1.07,93.13,14.07,121.95,163.09
AIV,2014-10-31,12.33,0.89,23.59,24.76,1.14,0.3,20.51,0.6,1.87,231.43,27.08,120.44,80.22
AIZ,2014-10-31,6.93,0.83,19.77,30.43,1.03,0.25,16.64,0.42,1.58,150.82,20.19,98.98,54.1
ALL,2014-10-31,4.36,0.95,17.52,50.41,1.13,0.21,12.36,0.35,2.02,148.01,19.92,109.44,91.09
ALLE,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALTR,2014-10-31,-4.29,1.24,27.41,35.28,0.58,0.13,22.27,-0.19,1.07,83.96,12.97,105.7,157.78
ALXN,2014-10-31,36.25,0.69,27.46,10.87,1.73,0.69,26.25,1.38,2.47,761.79,53.84,151.44,0.74
AMAT,2014-10-31,-8.24,1.64,28.67,56.23,0.64,0.11,20.73,-0.4,1.51,104.75,15.41,158.48,235.7
AME,2014-10-31,7.47,1.22,22.11,52.55,1.23,0.22,15.5,0.48,2.27,243.93,28.02,131.36,106.77
AMP,2014-10-31,4.19,1.65,24.36,79.21,1.27,0.19,14.01,0.3,1.77,301.32,32.04,174.87,161.49
AMT,2014-10-31,17.83,0.23,14.46,4.19,1.49,0.95,17.44,1.02,3.07,176.93,22.6,61.17,-34.48
AMZN,2014-10-31,4.69,1.11,27.7,27.49,0.82,0.2,23.63,0.2,1.92,157.1,20.79,102.8,86.84
BCR,2014-10-31,6.3,0.74,19.78,24.11,0.93,0.25,17.57,0.36,1.88,126.79,17.79,81.67,53.83
APA,2014-10-31,-22.61,1.43,28.37,43.95,0.02,0.0,21.98,-1.03,0.03,-15.45,-3.3,63.01,181.68
APC,2014-10-31,-14.89,1.85,36.25,45.12,0.42,0.08,29.1,-0.51,0.62,55.36,9.21,112.88,188.13
APD,2014-10-31,-3.81,1.22,21.1,57.69,0.76,0.13,14.03,-0.27,1.47,99.81,14.85,108.44,133.43
MCHP,2014-10-31,0.07,1.1,20.76,48.29,0.86,0.16,14.99,0.0,1.46,119.77,17.06,115.99,140.75
APH,2014-10-31,-1.08,1.4,23.45,61.88,0.93,0.15,15.42,-0.07,1.53,158.38,20.91,140.77,158.85
AVB,2014-10-31,9.5,0.76,21.42,21.99,1.02,0.29,19.17,0.5,1.78,166.5,21.66,98.61,67.73
AVP,2014-10-31,-36.97,1.37,30.8,33.96,-0.48,-0.11,25.49,-1.45,-0.81,-62.58,-17.85,43.67,250.39
AXP,2014-10-31,3.59,1.18,21.41,52.23,1.06,0.19,14.98,0.24,1.8,177.13,22.61,124.06,118.33
AZO,2014-10-31,23.42,0.38,14.94,10.95,1.98,0.78,16.31,1.44,3.39,309.08,32.54,89.32,-17.55
BAX,2014-10-31,-1.79,0.71,19.48,22.65,0.5,0.14,17.56,-0.1,0.71,47.71,8.11,65.7,78.03
BBBY,2014-10-31,1.72,0.89,25.3,21.34,0.64,0.18,22.49,0.08,0.86,91.25,13.85,74.28,61.62
BBY,2014-10-31,-20.18,1.89,45.6,29.58,0.23,0.06,40.0,-0.5,0.37,0.98,0.2,104.19,230.76
BDX,2014-10-31,1.43,0.9,16.1,54.01,1.0,0.18,11.0,0.13,2.11,109.2,15.91,95.49,100.09
BEAM,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BHI,2014-10-31,-12.24,1.5,35.5,30.91,0.34,0.08,30.24,-0.4,0.44,33.42,5.94,91.13,177.91
BIIB,2014-10-31,26.76,1.15,30.03,25.19,1.51,0.4,26.04,1.03,4.28,662.12,50.11,166.81,40.19
BLL,2014-10-31,7.87,0.84,16.72,43.28,1.28,0.26,12.78,0.62,1.86,171.59,22.12,98.61,62.38
BMS,2014-10-31,1.0,0.68,15.76,31.86,0.76,0.18,13.68,0.07,1.53,71.67,11.41,68.62,66.98
BMY,2014-10-31,18.72,0.43,20.51,7.69,1.26,0.6,21.06,0.89,2.95,225.25,26.6,84.39,-15.56
BRK_B,2014-10-31,10.08,0.39,15.76,10.47,1.04,0.42,16.94,0.6,2.33,113.46,16.38,64.03,20.54
BSX,2014-10-31,-3.09,1.05,30.16,21.1,0.47,0.13,26.8,-0.12,1.12,63.55,10.34,83.69,110.15
BXP,2014-10-31,5.91,0.81,17.86,35.66,1.07,0.24,14.54,0.41,2.01,139.66,19.1,94.28,64.86
CAG,2014-10-31,4.07,0.47,16.43,13.86,0.71,0.25,16.79,0.24,1.07,67.47,10.86,57.98,39.71
CAH,2014-10-31,14.65,0.58,16.74,20.51,1.44,0.42,15.92,0.92,2.83,208.22,25.25,83.34,6.48
CAM,2014-10-31,-7.9,1.34,29.85,34.76,0.46,0.1,24.52,-0.32,1.0,61.08,10.0,91.08,143.76
CCI,2014-10-31,12.55,0.5,16.93,15.23,1.22,0.41,16.9,0.74,3.25,162.09,21.25,73.96,1.86
CF,2014-10-31,7.0,1.5,38.96,25.46,0.8,0.21,34.26,0.2,1.25,226.82,26.73,130.38,95.85
CFN,2014-10-31,5.75,0.97,23.14,30.07,0.93,0.22,19.36,0.3,2.23,156.46,20.73,116.47,98.67
MCK,2014-10-31,16.0,0.72,19.63,23.39,1.41,0.38,17.56,0.91,3.36,261.3,29.29,99.84,7.88
CHRW,2014-10-31,0.21,0.51,19.49,11.83,0.44,0.17,19.4,0.01,0.69,39.59,6.9,48.23,63.28
CI,2014-10-31,17.54,0.66,22.38,14.88,1.26,0.43,21.14,0.83,2.45,259.14,29.14,103.68,30.42
CL,2014-10-31,5.25,0.47,12.28,25.38,1.05,0.27,12.68,0.41,1.73,83.63,12.92,64.12,44.72
CLX,2014-10-31,7.16,0.45,13.11,20.55,1.11,0.32,13.73,0.52,2.42,97.94,14.63,66.47,26.17
CMA,2014-10-31,-3.87,1.16,23.65,41.66,0.63,0.13,18.19,-0.21,0.99,84.3,13.01,99.44,127.75
CME,2014-10-31,-5.68,1.07,23.35,36.41,0.5,0.11,18.65,-0.3,0.93,57.88,9.56,87.44,122.59
CMG,2014-10-31,38.45,0.51,31.41,4.51,1.49,0.92,31.37,1.23,1.87,682.92,50.92,127.92,-20.02
CMI,2014-10-31,3.19,1.74,33.48,46.88,0.94,0.18,26.29,0.12,2.1,267.25,29.72,175.42,192.11
CMS,2014-10-31,17.84,0.33,14.75,8.49,1.57,0.71,16.65,1.07,2.33,199.56,24.54,79.52,-3.67
COF,2014-10-31,0.05,1.19,21.83,51.73,0.89,0.16,15.38,0.0,1.61,134.7,18.61,117.88,125.32
COG,2014-10-31,18.9,0.64,33.81,6.14,0.87,0.46,33.1,0.57,1.75,225.08,26.59,75.08,6.16
COH,2014-10-31,-10.97,1.14,31.71,22.16,0.24,0.07,28.03,-0.39,0.48,14.65,2.77,52.37,118.28
COP,2014-10-31,-13.62,1.45,29.5,41.6,0.34,0.07,23.3,-0.58,0.32,26.57,4.82,111.25,212.94
COST,2014-10-31,12.27,0.51,14.33,22.31,1.44,0.4,14.15,0.87,3.52,165.78,21.59,77.31,26.19
CPB,2014-10-31,4.1,0.44,17.1,11.23,0.65,0.26,17.73,0.23,1.19,63.0,10.26,61.18,48.05
CRM,2014-10-31,5.5,0.99,47.68,7.41,0.45,0.22,45.88,0.12,0.4,12.76,2.43,31.47,83.58
CSC,2014-10-31,-10.99,1.35,34.72,26.2,0.32,0.08,30.19,-0.36,0.58,29.99,5.39,123.18,216.88
CSCO,2014-10-31,-15.58,1.28,26.65,39.7,0.19,0.04,21.02,-0.74,0.29,8.91,1.72,92.08,165.4
CSX,2014-10-31,0.85,1.37,23.12,60.44,1.0,0.17,15.32,0.06,1.7,176.44,22.55,137.0,138.58
CTAS,2014-10-31,9.05,0.84,16.71,43.26,1.35,0.27,12.77,0.71,2.1,187.86,23.55,100.8,51.99
CTL,2014-10-31,3.1,0.67,19.64,19.99,0.71,0.21,18.1,0.17,1.16,82.59,12.8,60.06,44.09
CTSH,2014-10-31,1.62,1.25,25.88,40.36,0.85,0.18,20.26,0.08,1.35,152.78,20.38,124.98,128.08
CVC,2014-10-31,-27.99,1.35,50.19,12.54,-0.12,-0.04,47.17,-0.59,-0.1,-82.56,-29.48,65.49,445.85
D,2014-10-31,14.49,0.32,12.24,11.63,1.6,0.62,14.59,0.99,2.38,156.28,20.71,68.01,-7.6
